SBS902,Sistemas de Búsqueda y Salvam.Marítimo,2
SCP803,Sistema de Cobro y Pagos Internacionales,3
SDC603,Sistemas de Distribución de Carga,3
SDI803,Seminario de Investigación,3
SDS703,Sistemas de Señales,3
SDT503,Sistema de Transporte,3
SDT803,Seminario de Transporte,3
SEG502,Seguros,2
SGD703,Seguridad de Datos,3
SIG902,Sistemas de Información Gerencial,2
SIN703,Seguridad Informática,3
SMA803,Seguridad Marítima,3
SMC403,Sistemas Ambientales Marino Costeros,3
SOP513,Sistemas Operativos I,3
SOP623,Sistemas Operativos II,3
SPP750,Seminario de Pasantias Profesionales,4
SPT750,Seminario para Proyectos Turísticos I,4
SPT830,Seminario para Proyectos Turísticos II,4
SSC502,Servicio Social Comunitario,2
SSC503,Servicio Social Comunitario,3
SSC504,Servicio Social Comunitario Obligatorio,4
SSC550,Servicio Social Comunitario Obligatorio I,2
SSC660,Servicio Social Comunitario Obligatorio II,2
SSI502,Seminario de Seguridad Informática,2
STA902,Seminario de tópicos Ambientales,2
STG802,Seminario de Trabajo de Grado,2
STG903,Seminario de Trabajo de Grado,3
STP903,Seminario de Trabajo de Pasantía,3
TCG760,Taller de Cocina y Gastronomía,4
TCS603,Tecnología Cliente/Servidor,3
TDC460,Turismo de Cruceros I,4
TDC560,Turismo de Crucero II,4
TDC760,Turismo de Crucero III,4
TDE460,Turismo y Desarrollo Endógeno I,4
TDE560,Turismo y Desarrollo Endógeno II,4
TDG414,Tecnología Digital I,4
TDG524,Tecnología Digital II,4
TDP902,Técnicas de Decisión y sus Procesos,2
TDT802,Terminales de Transporte,2
TDT803,Terminales de Transporte,3
TEC303,Teoría Económica,3
TEC413,Teoría Económica I,3
TEC523,Teoría Económica II,3
TEL690,Trabajo en Equipo y Liderazgo,1
TEL702,Transacciones Electrónicas,2
TEL703,Transacciones Electrónicas,3
TEL903,Transacciones Electrónicas,3
TEP760,Teoría Política I,4
TEP840,Teoría Política II,4
TEP850,Teoría Política III,4
TER403,Termodinámica,3
TES760,Teoria Sociológica I,4
TES840,Teoría Sociológica II,4
TES850,Teoría Sociológica III,4
TFG1001,Trabajo Final de Grado,17
TGE903,Técnicas Gerenciales,3
TGR702,Técnicas Gerenciales,2
TID102,Técnicas de Investigación Documental,2
TID103,Técnicas de Investigación Documental,3
TLP902,Teoría de Lenguajes de Programación,2
TMA903,Tráfico Marítimo,3
TMT703,Tecnologías de Medios de Transporte,3
TPT250,Teoría y Práctica del Turismo I,4
TPT330,Teoría y Practica del Turismo II,4
TPT424,Teoría y Práctica del Turismo III,4
TPT520,Teoría y Práctica del Turismo IV,4
TPT630,Teoría y Práctica del Turismo V,4
TRD814,Transmisión de Datos I,4
TRD924,Transmisión de Datos II,4
TYD502,Teorías y Técnicas de Decisión,2
